Release,Date from,Date to,Top 1 contributing companies,Top 2 contributing companies,Top 3 contributing companies,Top 4 contributing companies,Top 5 contributing companies,Top 10 contributing companies,Top 15 contributing companies,Top 20 contributing companies,Top 25 contributing companies,Top 30 contributing companies,Top 50 contributing companies,Top 100 contributing companies,Top 200 contributing companies,Top 500 contributing companies,Top 1000 contributing companies
Quarter from 10/2015,10/1/2015,1/1/2016,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,Intel","Kinvolk,Red Hat,Intel,Aperian Global","Kinvolk,Red Hat,Intel,Aperian Global,EMC","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP","Kinvolk,Red Hat,Intel,Aperian Global,EMC,SUSE,Stack Exchange,nVisium,FICO,Discogs,Debian,Apcera,Apache,Fedora,Huawei,Karl Herler,Nebula,Peerigon,Rancher,Samsung,SAP"
Quarter from 01/2016,1/1/2016,4/1/2016,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,EMC","Kinvolk,Red Hat,EMC,Intel","Kinvolk,Red Hat,EMC,Intel,Tigera","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis","Kinvolk,Red Hat,EMC,Intel,Tigera,Siemens,SAP,appOrbit,Fedora,Airware,SORINT.lab,Debian,SUSE,Google,Compose,Uber,StackPointCloud,CrypTag,Schuberg Philis,Mirantis"
Quarter from 04/2016,4/1/2016,7/1/2016,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,Intel","Red Hat,Kinvolk,Intel,Peerigon","Red Hat,Kinvolk,Intel,Peerigon,appOrbit","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas","Red Hat,Kinvolk,Intel,Peerigon,appOrbit,SORINT.lab,Google,Bulletproof,Mirantis,Debian,EMC,Compose,Contap,Siemens,University of Queensland,Travelping,PayPal,Schuberg Philis,Weaveworks,Uber,SUSE,Radicore AB,Oteemo,Honestbee,Giant Swarm,Gaikai,Adidas"
Quarter from 07/2016,7/1/2016,10/1/2016,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,SORINT.lab","Red Hat,Kinvolk,SORINT.lab,Huawei","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon","Red Hat,Kinvolk,SORINT.lab,Huawei,Intel,University of Queensland,Travelping,EMC,National Geographic,Debian,Tigera,42 Tech,CrypTag,Futurequest,MappingBook,Oteemo,PayPal,Siemens,SUSE,ThoughtWorks,imgix,WSO2,AD/FIN,Alternative Storage,Devops,Radicore AB,Compose,Verizon"
Quarter from 10/2016,10/1/2016,1/1/2017,Red Hat,"Red Hat,Intel","Red Hat,Intel,Travelping","Red Hat,Intel,Travelping,FireEye","Red Hat,Intel,Travelping,FireEye,University of Queensland","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN","Red Hat,Intel,Travelping,FireEye,University of Queensland,Kinvolk,Unbounce,Virginia Tech,SAP,Debian,IBM,SUSE,Pivotal,Mirantis,Infoxchange,Google,Futurequest,Fedora,Egnyte,AD/FIN"
Quarter from 01/2017,1/1/2017,4/1/2017,Red Hat,"Red Hat,Intel","Red Hat,Intel,Kinvolk","Red Hat,Intel,Kinvolk,Travelping","Red Hat,Intel,Kinvolk,Travelping,University of Queensland","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks","Red Hat,Intel,Kinvolk,Travelping,University of Queensland,Mirantis,Egnyte,CoScale,Gaikai,Checkr,Siemens,CABNetworks"
Quarter from 04/2017,4/1/2017,7/1/2017,Red Hat,"Red Hat,Caelum","Red Hat,Caelum,Kinvolk","Red Hat,Caelum,Kinvolk,Softonic","Red Hat,Caelum,Kinvolk,Softonic,Checkr","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech","Red Hat,Caelum,Kinvolk,Softonic,Checkr,Hupp,CNCF,University of Queensland,42 Tech,Futurequest,CoScale,Virginia Tech"
Quarter from 07/2017,7/1/2017,10/1/2017,Red Hat,"Red Hat,Kinvolk","Red Hat,Kinvolk,Caelum","Red Hat,Kinvolk,Caelum,BlaBlaCar","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr","Red Hat,Kinvolk,Caelum,BlaBlaCar,PayPal,42 Tech,Nemo.ai,Checkr"
Quarter from 10/2017,10/1/2017,1/1/2018,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,Docker","Kinvolk,Red Hat,Docker,Caelum","Kinvolk,Red Hat,Docker,Caelum,Inovex","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag","Kinvolk,Red Hat,Docker,Caelum,Inovex,CNCF,CrypTag"
Quarter from 01/2018,1/1/2018,4/1/2018,Kinvolk,"Kinvolk,Red Hat","Kinvolk,Red Hat,UMCloud","Kinvolk,Red Hat,UMCloud,genua","Kinvolk,Red Hat,UMCloud,genua,Caelum","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE","Kinvolk,Red Hat,UMCloud,genua,Caelum,SUSE"
